TICKER,PRECO,Nome,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG.LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
AALR3,19.68,ALLIAR,,"-413,87","1,92","0,92","31,33","7,76","-0,49","26,40","33,78","7,38","0,54","2,05","-23,22","-1,13","0,83","-0,47","-0,22","4,41","0,48","0,52","0,45","3,62",,"8.079.660,25","10,22","-0,05","4,39","2.328.002.618,88"
ABCB4,15.779999999999999,ABC BRASIL,"6,44","6,24","0,76","0,07","23,86","18,43","13,98","4,73","4,73",,,"0,87","-6,01","-0,07","0,72","12,25","1,16",,"0,09","0,91","0,08","7,15","7,87","14.639.014,04","20,65","2,53","0,08","3.567.702.062,04"
ABEV3,13.5,AMBEV S/A,"4,47","15,80","2,69","1,67","50,27","22,97","18,03","12,40","11,74","-0,66","-0,14","2,85","163,48","-2,29","1,04","17,05","10,56","20,02","0,62","0,37","0,59","9,82","1,41","360.004.527,13","5,01","0,85","3,74","212.627.927.488,50"
ADHM3,1.5600000000000001,-,,"-4,09","-1,29","105,12","100,00","-13.548,48","-18.860,61","-5,69","-5,69","0,00",,"770,90","-1,43","-116,16","0,00","-31,47","-2.571,90","22,61","-81,72","82,72","0,14",,,,"-1,21","-0,38","-0,58","25.439.770,20"
AERI3,4.2999999999999998,AERIS,"0,48","47,62","3,30","1,07","11,54","8,36","2,78","15,85","18,57","2,72","0,57","1,33","2,58","-2,99","2,80","6,92","2,24","8,06","0,32","0,68","0,81",,,"10.117.670,50","1,30","0,09","-1,22","3.294.717.860,80"
AESB3,10.800000000000001,AES BRASIL,"2,14","11,01","1,63","0,42","22,78","14,53","25,41","19,26","34,60","15,34","1,30","2,80","2,85","-0,54","2,91","14,79","3,81","-2,70","0,26","0,64","0,15",,,"16.885.347,46","6,63","0,98",,"5.314.750.146,00"
AFLT3,9.6799999999999997,AFLUENTE T,"4,41","5,96","2,38","2,18","87,03","84,24","81,52","5,77","5,58","-0,19","-0,08","4,86","10,40","-2,83","10,78","39,98","36,56","39,43","0,91","0,09","0,45","30,86","48,28","4.808,44","4,06","1,62","0,01","610.659.896,00"
AGRO3,33.210000000000001,BRASILAGRO,"13,96","4,69","1,39","0,94","42,71","38,75","53,36","6,46","6,24","-0,21","-0,05","2,50","2,84","-1,84","3,04","29,57","19,97","15,77","0,68","0,32","0,37","55,29","146,35","30.198.556,38","23,95","7,08","0,01","3.399.940.435,68"
AGXY3,9,AGROGALAXY,"1,87","2.308,45","1,04","0,23","6,94","-2,02","0,02","-19,64","-27,74","-8,10","0,43","0,40","2,82","-1,12","1,11","0,05","0,01","-3,43","0,22","0,78","0,57",,,"1.103.869,58","8,63","0,00",,"1.537.424.901,00"
AHEB3,27.5,SPTURIS,,"-3,15","-3,32","0,75","28,13","-24,82","-42,95","-5,45","-4,96","0,53",,"1,35","-53,36","-1,08","0,96","-105,53","-23,80","60,99","-0,23","1,23","0,55","-1,24",,"4.125,00","-8,28","-8,73","-0,01","236.820.517,90"
