TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
FISC11;165,00;0,220000;1,08;152,03;1,09;;0,29;;;258.447.901,09;70,00;Ativa;1.699.996,00
HGBS11;177,73;1,150000;5,63;215,26;0,83;1.603.140,93;0,92;-16,05;-11,12;2.152.562.371,83;80.771,00;Ativa;10.000.000,00
HOSI11;72,97;0,360000;7,86;91,49;0,79;10.943,80;1,30;;;52.466.459,54;2.033,00;Ativa;573.450,00
IRDM11;106,76;1,181921;13,15;96,92;1,10;12.430.859,02;4,84;9,75;1,05;3.202.717.504,66;239.801,00;Ativa;33.044.580,00
IRIM11;108,12;1,143706;9,12;100,39;1,08;311.126,49;1,33;;;130.503.385,72;1.206,00;Ativa;1.300.000,00
PQDP11;2.015,00;14,290159;6,46;3.356,58;0,60;80.606,00;0,95;-9,08;-13,50;800.467.303,08;4.045,00;Passiva;238.477,00
CBOP11;63,35;0,490000;12,63;89,83;0,71;39.351,02;3,81;10,31;-3,91;127.106.151,79;4.046,00;Passiva;1.415.000,00
CXRI11;64,04;0,510000;9,10;84,13;0,76;15.182,12;3,15;-24,97;-60,33;132.563.074,74;2.765,00;Ativa;1.575.760,00
CYCR11;99,00;1,150000;8,88;95,51;1,04;10.587,78;8,38;;;61.043.125,79;258,00;Ativa;639.139,00
DAMT11B;0,61;;0,00;0,15;4,07;7.297,63;0,18;;;18.823.591,90;668,00;Passiva;129.667.109,00
FVBI11;94,97;0,369573;0,00;0,00;;;;142,93;-9,82;0,00;0,00;Passiva;0,00
GALG11;95,34;0,820000;10,53;102,19;0,93;633.062,02;0,16;;;587.429.547,37;7.603,00;Ativa;5.748.530,00
GAME11;10,18;0,130000;46,25;9,91;1,02;48.165,15;0,37;;;204.099.024,30;752,00;Ativa;20.600.000,00
PRSN11B;1,19;0,003476;1,07;0,34;3,50;896,64;9,51;;;17.343.370,86;987,00;Ativa;51.699.979,00
FATN11;98,84;0,780000;8,74;100,64;0,98;7.451,06;5,59;;;99.084.384,10;397,00;Ativa;984.500,00
